SKUid,EANcode,BrandName,Category,Product,Price,Incentive
529,8.90E+12,BOAT,Wired EP,Bassheads 220 Black,599,6
530,8.90E+12,BOAT,Wired EP,Bassheads 220 Blue,599,6
536,8.90E+12,BOAT,Wired EP,Bassheads 220 Frosty White,599,6
538,8.90E+12,BOAT,Wired EP,Bassheads 220 Indi Black,749,7
541,8.90E+12,BOAT,Wired EP,Bassheads 220 Indi Blue,749,7
542,8.90E+12,BOAT,Wired EP,Bassheads 220 Indi Lime,749,7
543,8.90E+12,BOAT,Wired EP,Bassheads 220 Molten Orange,749,7
544,8.90E+12,BOAT,Wired EP,Bassheads 220 Neon Lime,599,6
545,8.90E+12,BOAT,Wired EP,Bassheads 220 Raging Red,599,6
547,8.90E+12,BOAT,Wired EP,Bassheads 225 Black Indi,749,7
548,8.90E+12,BOAT,Wired EP,Bassheads 225 Blue,599,6
550,8.90E+12,BOAT,Wired EP,Bassheads 225 Cc Black,599,6
552,8.90E+12,BOAT,Wired EP,Bassheads 225 Cc Forest Green,749,7
553,8.90E+12,BOAT,Wired EP,Bassheads 225 Cc Frosty White,749,7
1577,8.90E+12,BOAT,Wired EP,Bassheads 220 Raging Red Indi,599,6
1582,8.90E+12,BOAT,Wired EP,Bassheads 225 Black,599,6
554,8.90E+12,BOAT,Wired EP,Bassheads 225 Cc Neon Lime,599,6
561,8.90E+12,BOAT,Wired EP,Bassheads 225 Cc Red,599,6
562,8.90E+12,BOAT,Wired EP,Bassheads 225 Forest Green,599,6
563,8.90E+12,BOAT,Wired EP,Bassheads 225 Frosty White,749,7
564,8.90E+12,BOAT,Wired EP,Bassheads 225 Green Ind,599,6
565,8.90E+12,BOAT,Wired EP,Bassheads 225 Indi Blue,599,6
567,8.90E+12,BOAT,Wired EP,Bassheads 225 Molten Orange,599,6
568,8.90E+12,BOAT,Wired EP,Bassheads 225 Neon Lime,599,6
572,8.90E+12,BOAT,Wired EP,Bassheads 225 Red Ind,749,7
575,8.90E+12,BOAT,Wired EP,Bassheads 225 White Ind,599,6
579,8.90E+12,BOAT,Wired EP,Bassheads 228 Black,599,6
580,8.90E+12,BOAT,Wired EP,Bassheads 228 Blue,599,6
581,8.90E+12,BOAT,Wired EP,Bassheads 228 Forest Green,599,6
582,8.90E+12,BOAT,Wired EP,Bassheads 228 Frosty White,749,7
584,8.90E+12,BOAT,Wired EP,Bassheads 228 Neon Lime,599,6
585,8.90E+12,BOAT,Wired EP,Bassheads 228 Red,599,6
603,8.90E+12,BOAT,Wired EP,Bassheads 242 Active Black,649,6
604,8.90E+12,BOAT,Wired EP,Bassheads 242 Blue,649,6
605,8.90E+12,BOAT,Wired EP,Bassheads 242 Carbon Black,649,6
606,8.90E+12,BOAT,Wired EP,Bassheads 242 Neon Green,649,6
607,8.90E+12,BOAT,Wired EP,Bassheads 242 Orange,649,6
609,8.90E+12,BOAT,Wired EP,Bassheads 242 Red,649,6
611,8.90E+12,BOAT,Wired EP,Bassheads 242 Spirit Lime,649,6
1895,8.91E+12,BOAT,Wired EP,Bassheads 85 Active Black,329,3
1896,8.91E+12,BOAT,Wired EP,Bassheads 95 Active Black,329,3
